epoch;time;train/box_loss;train/cls_loss;train/dfl_loss;metrics/precision(B);metrics/recall(B);metrics/mAP50(B);metrics/mAP50-95(B);val/box_loss;val/cls_loss;val/dfl_loss;lr/pg0;lr/pg1;lr/pg2;lr/pg3;lr/pg4;lr/pg5;lr/pg6;lr/pg7
175;1419.39;0.84818;0.26146;0.00575;0.68006;1;0,88048;0,46026;137.738;0.69988;0.00908;0.00248322;0.00082774;0.00248322;0.00082774;0.00248322;0.00082774;0.00248322;0.00082774
55;446.581;138.653;0.64169;0.00947;0.72073;0.99298;0,87815;0,40962;143.224;0.65229;0.0089;0.00283962;0.00094654;0.00283962;0.00094654;0.00283962;0.00094654;0.00283962;0.00094654
121;981.607;106.152;0.46193;0.00752;0.66857;1;0,87803;0,4859;121.773;0.61438;0.00803;0.0026436;0.0008812;0.0026436;0.0008812;0.0026436;0.0008812;0.0026436;0.0008812
128;1038.41;104.875;0.45113;0.00709;0.77591;0.92308;0,87617;0,46918;129.857;0.68804;0.0082;0.00262281;0.00087427;0.00262281;0.00087427;0.00262281;0.00087427;0.00262281;0.00087427
119;965.352;110.228;0.44175;0.00758;0.6879;0.92308;0,87556;0,49107;118.342;0.68583;0.00741;0.00264954;0.00088318;0.00264954;0.00088318;0.00264954;0.00088318;0.00264954;0.00088318
62;503.228;139.121;0.62391;0.0094;0.74604;0.84615;0,8755;0,39693;144.008;0.67494;0.00889;0.00281883;0.00093961;0.00281883;0.00093961;0.00281883;0.00093961;0.00281883;0.00093961
176;1427.51;0.96289;0.33352;0.00623;0.65726;0.92308;0,87333;0,42752;145.852;0.7864;0.0096;0.00248025;0.00082675;0.00248025;0.00082675;0.00248025;0.00082675;0.00248025;0.00082675
64;519.645;133.722;0.63295;0.00955;0.82057;0.76923;0,87234;0,38398;146.986;0.76188;0.0093;0.00281289;0.00093763;0.00281289;0.00093763;0.00281289;0.00093763;0.00281289;0.00093763
186;1508.32;0.85405;0.24367;0.00533;0.69708;0.92308;0,87022;0,40631;142.044;0.81134;0.00946;0.00245055;0.00081685;0.00245055;0.00081685;0.00245055;0.00081685;0.00245055;0.00081685
118;957.297;106.898;0.36622;0.00774;0.73505;0.92308;0,86929;0,47754;121.305;0.63744;0.00771;0.00265251;0.00088417;0.00265251;0.00088417;0.00265251;0.00088417;0.00265251;0.00088417
189;1532.75;0.89039;0.26775;0.00627;0.78438;0.84615;0,86886;0,44819;137.261;0.79518;0.00906;0.00244164;0.00081388;0.00244164;0.00081388;0.00244164;0.00081388;0.00244164;0.00081388
52;422.071;13.812;0.6839;0.00954;0.74164;0.92308;0,86819;0,35858;146.761;0.6539;0.00929;0.00284853;0.00094951;0.00284853;0.00094951;0.00284853;0.00094951;0.00284853;0.00094951
124;1005.98;11.067;0.42921;0.00764;0.69797;0.92308;0,86767;0,46167;123.587;0.61604;0.00801;0.00263469;0.00087823;0.00263469;0.00087823;0.00263469;0.00087823;0.00263469;0.00087823
60;487.116;13.451;0.63998;0.00924;0.7446;0.89815;0,86731;0,46408;144.406;0.60707;0.00909;0.00282477;0.00094159;0.00282477;0.00094159;0.00282477;0.00094159;0.00282477;0.00094159
48;389.888;131.648;0.76939;0.00966;0.71858;1;0,86657;0,32164;159.272;0.71247;0.00974;0.00286041;0.00095347;0.00286041;0.00095347;0.00286041;0.00095347;0.00286041;0.00095347
113;916.708;12.033;0.43257;0.00854;0.80868;0.76923;0,86478;0,45466;13.112;0.76683;0.00835;0.00266736;0.00088912;0.00266736;0.00088912;0.00266736;0.00088912;0.00266736;0.00088912
87;705.77;126.631;0.4212;0.00868;0.8165;0.6852;0,86457;0,42708;137.739;0.80619;0.00884;0.00274458;0.00091486;0.00274458;0.00091486;0.00274458;0.00091486;0.00274458;0.00091486
125;1014.1;106.506;0.43987;0.00741;0.66086;0.90031;0,86382;0,47918;123.124;0.85216;0.00816;0.00263172;0.00087724;0.00263172;0.00087724;0.00263172;0.00087724;0.00263172;0.00087724
185;1500.24;0.86903;0.29869;0.00579;0.65918;0.92308;0,86359;0,42592;140.474;0.73385;0.00927;0.00245352;0.00081784;0.00245352;0.00081784;0.00245352;0.00081784;0.00245352;0.00081784
190;1540.68;0.87223;0.28543;0.00539;0.81728;0.76923;0,86266;0,46364;136.689;0.77107;0.00906;0.00243867;0.00081289;0.00243867;0.00081289;0.00243867;0.00081289;0.00243867;0.00081289
65;527.813;138.402;0.5359;0.00954;0.75098;0.76923;0,8617;0,36382;147.184;0.73612;0.0093;0.00280992;0.00093664;0.00280992;0.00093664;0.00280992;0.00093664;0.00280992;0.00093664
165;1338.32;0.90683;0.29327;0.00585;0.79174;0.69231;0,86045;0,46683;139.557;0.91237;0.00939;0.00251292;0.00083764;0.00251292;0.00083764;0.00251292;0.00083764;0.00251292;0.00083764
147;1192.56;105.275;0.36033;0.00752;0.6592;0.92308;0,85958;0,49497;131.368;0.71308;0.00877;0.00256638;0.00085546;0.00256638;0.00085546;0.00256638;0.00085546;0.00256638;0.00085546
127;1030.26;103.919;0.39385;0.00653;0.71558;0.84615;0,85482;0,46517;124.121;0.8565;0.00785;0.00262578;0.00087526;0.00262578;0.00087526;0.00262578;0.00087526;0.00262578;0.00087526
114;924.784;117.065;0.41067;0.0077;0.72599;0.8165;0,85296;0,45292;117.433;0.68582;0.00769;0.00266439;0.00088813;0.00266439;0.00088813;0.00266439;0.00088813;0.00266439;0.00088813
126;1022.12;10.857;0.36573;0.00736;0.70479;0.91852;0,85192;0,49125;117.774;0.69061;0.00761;0.00262875;0.00087625;0.00262875;0.00087625;0.00262875;0.00087625;0.00262875;0.00087625
71;576.407;128.501;0.58837;0.0089;0.80535;0.76923;0,85095;0,44235;140.967;0.69724;0.0087;0.0027921;0.0009307;0.0027921;0.0009307;0.0027921;0.0009307;0.0027921;0.0009307
49;397.941;136.989;0.66711;0.01008;0.77952;0.76923;0,85086;0,39494;15.104;0.5987;0.00931;0.00285744;0.00095248;0.00285744;0.00095248;0.00285744;0.00095248;0.00285744;0.00095248
187;1516.5;0.89415;0.33422;0.00611;0.73255;0.84615;0,85026;0,4184;134.685;0.83706;0.00899;0.00244758;0.00081586;0.00244758;0.00081586;0.00244758;0.00081586;0.00244758;0.00081586
174;1411.22;0.89681;0.2721;0.00592;0.70821;0.84615;0,85005;0,4298;143.779;0.72644;0.00949;0.00248619;0.00082873;0.00248619;0.00082873;0.00248619;0.00082873;0.00248619;0.00082873
129;1046.55;100.585;0.33031;0.00639;0.76569;0.75506;0,84903;0,50909;121.831;0.63906;0.00762;0.00261984;0.00087328;0.00261984;0.00087328;0.00261984;0.00087328;0.00261984;0.00087328
111;900.376;109.793;0.3866;0.00737;0.62238;0.88851;0,8462;0,44399;133.853;0.63781;0.00873;0.0026733;0.0008911;0.0026733;0.0008911;0.0026733;0.0008911;0.0026733;0.0008911
135;1095.17;105.194;0.4347;0.00683;0.824;0.84615;0,84593;0,42241;135.741;0.85661;0.00895;0.00260202;0.00086734;0.00260202;0.00086734;0.00260202;0.00086734;0.00260202;0.00086734
90;730.042;126.585;0.44739;0.00876;0.88827;0.69231;0,84592;0,51803;126.041;0.81951;0.00811;0.00273567;0.00091189;0.00273567;0.00091189;0.00273567;0.00091189;0.00273567;0.00091189
177;1435.62;0.95061;0.29567;0.00606;0.66233;0.92308;0,84559;0,44115;144.464;0.88024;0.00959;0.00247728;0.00082576;0.00247728;0.00082576;0.00247728;0.00082576;0.00247728;0.00082576
188;1524.62;0.88383;0.3024;0.00559;0.83827;0.84615;0,84454;0,43244;141.392;0.8246;0.00936;0.00244461;0.00081487;0.00244461;0.00081487;0.00244461;0.00081487;0.00244461;0.00081487
164;1330.15;0.8988;0.28338;0.00584;0.65608;0.88154;0,84439;0,44582;1.367;0.83628;0.00914;0.00251589;0.00083863;0.00251589;0.00083863;0.00251589;0.00083863;0.00251589;0.00083863
112;908.471;112.105;0.41444;0.00753;0.66523;0.91743;0,84192;0,42135;133.813;0.87657;0.00862;0.00267033;0.00089011;0.00267033;0.00089011;0.00267033;0.00089011;0.00267033;0.00089011
169;1370.7;0.95504;0.30026;0.0064;0.67259;1;0,84175;0,46778;132.873;0.73342;0.00859;0.00250104;0.00083368;0.00250104;0.00083368;0.00250104;0.00083368;0.00250104;0.00083368
134;1087.07;110.039;0.37846;0.00703;0.78433;0.84615;0,83985;0,44327;135.076;0.81782;0.0087;0.00260499;0.00086833;0.00260499;0.00086833;0.00260499;0.00086833;0.00260499;0.00086833
173;1403.28;0.96778;0.3994;0.00622;0.64989;0.99955;0,83894;0,42956;146.267;0.76357;0.00963;0.00248916;0.00082972;0.00248916;0.00082972;0.00248916;0.00082972;0.00248916;0.00082972
153;1241.07;101.613;0.32447;0.00701;0.65861;0.92308;0,83849;0,43996;136.176;0.75654;0.00911;0.00254856;0.00084952;0.00254856;0.00084952;0.00254856;0.00084952;0.00254856;0.00084952
93;754.585;11.195;0.399;0.0078;0.86891;0.69231;0,83793;0,49958;129.314;0.72683;0.00842;0.00272676;0.00090892;0.00272676;0.00090892;0.00272676;0.00090892;0.00272676;0.00090892
73;592.531;129.609;0.57068;0.00922;0.69399;1;0,83711;0,39575;144.018;0.64445;0.00903;0.00278616;0.00092872;0.00278616;0.00092872;0.00278616;0.00092872;0.00278616;0.00092872
150;1216.89;0.94117;0.34113;0.00614;0.74931;0.92308;0,83651;0,47638;142.179;0.76744;0.0094;0.00255747;0.00085249;0.00255747;0.00085249;0.00255747;0.00085249;0.00255747;0.00085249
151;1224.95;0.93957;0.36383;0.00657;0.72296;0.84615;0,83269;0,46593;132.308;0.82076;0.00874;0.0025545;0.0008515;0.0025545;0.0008515;0.0025545;0.0008515;0.0025545;0.0008515
159;1289.78;0.88041;0.34385;0.0059;0.64278;0.84615;0,83082;0,44389;138.382;0.92221;0.00913;0.00253074;0.00084358;0.00253074;0.00084358;0.00253074;0.00084358;0.00253074;0.00084358
172;1395.15;0.94231;0.26421;0.00626;0.6756;1;0,82935;0,42351;142.603;0.73401;0.00938;0.00249213;0.00083071;0.00249213;0.00083071;0.00249213;0.00083071;0.00249213;0.00083071
89;721.953;126.627;0.51415;0.00846;0.68405;0.83341;0,82928;0,45032;137.163;0.82078;0.00891;0.00273864;0.00091288;0.00273864;0.00091288;0.00273864;0.00091288;0.00273864;0.00091288
109;884.192;115.157;0.46578;0.0079;0.7498;0.76923;0,82824;0,44751;13.232;0.69648;0.00865;0.00267924;0.00089308;0.00267924;0.00089308;0.00267924;0.00089308;0.00267924;0.00089308
152;1233.12;111.143;0.42683;0.00751;0.70153;0.90487;0,82818;0,48502;133.759;0.79629;0.00884;0.00255153;0.00085051;0.00255153;0.00085051;0.00255153;0.00085051;0.00255153;0.00085051
146;1184.44;0.93828;0.35516;0.00619;0.59495;0.90461;0,82572;0,44429;132.614;0.87404;0.00878;0.00256935;0.00085645;0.00256935;0.00085645;0.00256935;0.00085645;0.00256935;0.00085645
