epoch;time;train/box_loss;train/cls_loss;train/dfl_loss;train/angle_loss;metrics/precision(B);metrics/recall(B);metrics/mAP50(B);metrics/mAP50-95(B);val/box_loss;val/cls_loss;val/dfl_loss;val/angle_loss;lr/pg0;lr/pg1;lr/pg2;lr/pg3;lr/pg4;lr/pg5;lr/pg6;lr/pg7
167;778.814;0.82608;0.36223;0.0618;0.01199;0.94797;0.95;0,98133;0,75719;0.93823;0.36107;0.10048;0.00456;0.00250698;0.00083566;0.00250698;0.00083566;0.00250698;0.00083566;0.00250698;0.00083566
149;694.566;0.82122;0.37844;0.05222;0.00753;0.96957;0.925;0,98125;0,78259;0.90474;0.38104;0.08972;0.00686;0.00256044;0.00085348;0.00256044;0.00085348;0.00256044;0.00085348;0.00256044;0.00085348
127;591.859;0.83837;0.33005;0.0546;0.00947;0.99199;0.925;0,98121;0,74013;10.076;0.4129;0.09453;0.00476;0.00262578;0.00087526;0.00262578;0.00087526;0.00262578;0.00087526;0.00262578;0.00087526
54;251.52;108.647;0.5194;0.06862;0.00804;0.94738;0.925;0,98115;0,76711;0.94918;0.37228;0.09206;0.00596;0.00284259;0.00094753;0.00284259;0.00094753;0.00284259;0.00094753;0.00284259;0.00094753
126;587.141;0.84055;0.41659;0.06238;0.00722;0.98934;0.925;0,98099;0,73496;0.98853;0.41489;0.09489;0.00557;0.00262875;0.00087625;0.00262875;0.00087625;0.00262875;0.00087625;0.00262875;0.00087625
151;703.977;0.82495;0.34753;0.07545;0.00701;0.90566;0.975;0,98047;0,77232;0.93491;0.41882;0.09097;0.00594;0.0025545;0.0008515;0.0025545;0.0008515;0.0025545;0.0008515;0.0025545;0.0008515
159;741.292;0.79614;0.35328;0.07243;0.00623;0.96655;0.925;0,98033;0,7366;100.683;0.36939;0.0978;0.00741;0.00253074;0.00084358;0.00253074;0.00084358;0.00253074;0.00084358;0.00253074;0.00084358
218;1017.33;0.67734;0.33679;0.04755;0.0055;0.97423;0.94534;0,98019;0,73633;0.98299;0.39572;0.08884;0.00959;0.00235551;0.00078517;0.00235551;0.00078517;0.00235551;0.00078517;0.00235551;0.00078517
132;615.151;0.81362;0.34499;0.06415;0.00579;0.97331;0.95;0,98017;0,74648;0.9724;0.41683;0.09297;0.00461;0.00261093;0.00087031;0.00261093;0.00087031;0.00261093;0.00087031;0.00261093;0.00087031
50;232.862;0.99276;0.48622;0.07258;0.0134;0.98341;0.925;0,98003;0,73838;0.98053;0.45805;0.09599;0.00478;0.00285447;0.00095149;0.00285447;0.00095149;0.00285447;0.00095149;0.00285447;0.00095149
148;689.798;0.78121;0.4214;0.05628;0.01007;0.97358;0.9215;0,97996;0,77296;0.86368;0.42234;0.08992;0.00787;0.00256341;0.00085447;0.00256341;0.00085447;0.00256341;0.00085447;0.00256341;0.00085447
150;699.28;0.81767;0.36591;0.06612;0.01471;0.96905;0.9;0,97985;0,77307;0.91038;0.3732;0.09017;0.00655;0.00255747;0.00085249;0.00255747;0.00085249;0.00255747;0.00085249;0.00255747;0.00085249
195;909.714;0.76284;0.28653;0.05711;0.00623;0.97475;0.96535;0,97982;0,74417;0.95678;0.39937;0.0868;0.00462;0.00242382;0.00080794;0.00242382;0.00080794;0.00242382;0.00080794;0.00242382;0.00080794
176;821.066;0.74867;0.29914;0.07441;0.00837;0.92839;0.97234;0,97979;0,74617;0.98171;0.37718;0.09987;0.00464;0.00248025;0.00082675;0.00248025;0.00082675;0.00248025;0.00082675;0.00248025;0.00082675
43;200.332;109.005;0.53699;0.06509;0.01022;0.95847;0.9;0,97978;0,74399;0.971;0.43416;0.09233;0.00579;0.00287526;0.00095842;0.00287526;0.00095842;0.00287526;0.00095842;0.00287526;0.00095842
152;708.613;0.76726;0.34166;0.06054;0.00565;0.92648;0.9452;0,97916;0,76176;0.947;0.44396;0.09752;0.00647;0.00255153;0.00085051;0.00255153;0.00085051;0.00255153;0.00085051;0.00255153;0.00085051
49;228.251;104.575;0.4912;0.05797;0.00884;0.94153;0.95;0,97888;0,74017;102.436;0.44901;0.09654;0.00573;0.00285744;0.00095248;0.00285744;0.00095248;0.00285744;0.00095248;0.00285744;0.00095248
178;830.358;0.76743;0.30109;0.07465;0.00593;0.94995;0.94893;0,9788;0,70957;103.194;0.39324;0.09884;0.00609;0.00247431;0.00082477;0.00247431;0.00082477;0.00247431;0.00082477;0.00247431;0.00082477
84;391.288;0.9183;0.43235;0.05896;0.01043;0.89986;0.975;0,97835;0,7287;0.96026;0.46335;0.10043;0.00574;0.00275349;0.00091783;0.00275349;0.00091783;0.00275349;0.00091783;0.00275349;0.00091783
86;400.68;0.99925;0.42035;0.05399;0.01079;0.9878;0.875;0,97819;0,71934;0.96497;0.43116;0.10069;0.00527;0.00274755;0.00091585;0.00274755;0.00091585;0.00274755;0.00091585;0.00274755;0.00091585
213;993.885;0.69869;0.30651;0.05538;0.01112;0.95071;0.96446;0,97819;0,74832;0.94363;0.44745;0.08672;0.00671;0.00237036;0.00079012;0.00237036;0.00079012;0.00237036;0.00079012;0.00237036;0.00079012
128;596.51;0.85792;0.43783;0.06722;0.00787;0.94977;0.94545;0,97796;0,73853;0.97046;0.4521;0.09175;0.0043;0.00262281;0.00087427;0.00262281;0.00087427;0.00262281;0.00087427;0.00262281;0.00087427
215;1003.2;0.67771;0.29287;0.04296;0.00527;0.95259;0.95;0,97771;0,74245;0.97017;0.43889;0.08723;0.00802;0.00236442;0.00078814;0.00236442;0.00078814;0.00236442;0.00078814;0.00236442;0.00078814
222;1035.92;0.6696;0.29547;0.0493;0.00625;0.94687;0.89121;0,97762;0,73842;0.92674;0.48174;0.09203;0.00549;0.00234363;0.00078121;0.00234363;0.00078121;0.00234363;0.00078121;0.00234363;0.00078121
168;783.626;0.88016;0.35344;0.0872;0.01031;0.94733;0.89938;0,97754;0,73317;0.96458;0.41304;0.1011;0.0049;0.00250401;0.00083467;0.00250401;0.00083467;0.00250401;0.00083467;0.00250401;0.00083467
56;260.955;102.678;0.47117;0.05946;0.00817;0.92109;0.9;0,97749;0,7536;0.95304;0.43186;0.09291;0.00678;0.00283665;0.00094555;0.00283665;0.00094555;0.00283665;0.00094555;0.00283665;0.00094555
161;750.817;0.76344;0.30327;0.06875;0.00635;0.92431;0.91602;0,97746;0,72286;0.98961;0.40688;0.09907;0.00643;0.0025248;0.0008416;0.0025248;0.0008416;0.0025248;0.0008416;0.0025248;0.0008416
217;1012.66;0.67424;0.2557;0.04777;0.00432;0.97136;0.95;0,97722;0,74523;0.93369;0.43154;0.08824;0.00671;0.00235848;0.00078616;0.00235848;0.00078616;0.00235848;0.00078616;0.00235848;0.00078616
193;900.279;0.72628;0.35455;0.04867;0.00419;0.94781;0.925;0,97715;0,74898;0.946;0.39976;0.09129;0.00497;0.00242976;0.00080992;0.00242976;0.00080992;0.00242976;0.00080992;0.00242976;0.00080992
48;223.627;112.151;0.48167;0.06336;0.00781;0.92365;0.9074;0,97714;0,73787;103.434;0.4761;0.09645;0.00545;0.00286041;0.00095347;0.00286041;0.00095347;0.00286041;0.00095347;0.00286041;0.00095347
64;298.152;0.95163;0.42487;0.06273;0.01075;0.97324;0.90933;0,97688;0,74264;0.96552;0.53445;0.09572;0.00533;0.00281289;0.00093763;0.00281289;0.00093763;0.00281289;0.00093763;0.00281289;0.00093763
162;755.514;0.79743;0.34891;0.08044;0.00631;0.93712;0.925;0,97629;0,71925;0.98436;0.41156;0.09826;0.00649;0.00252183;0.00084061;0.00252183;0.00084061;0.00252183;0.00084061;0.00252183;0.00084061
147;685.078;0.79418;0.29685;0.08414;0.00858;0.88165;0.975;0,97612;0,76033;0.92466;0.41045;0.08991;0.00838;0.00256638;0.00085546;0.00256638;0.00085546;0.00256638;0.00085546;0.00256638;0.00085546
57;265.667;0.98327;0.50682;0.07006;0.0181;0.9088;0.95;0,97601;0,74462;100.037;0.41457;0.09476;0.00695;0.00283368;0.00094456;0.00283368;0.00094456;0.00283368;0.00094456;0.00283368;0.00094456
113;526.792;0.83237;0.33146;0.06637;0.00784;0.97424;0.94549;0,97595;0,7675;0.96831;0.43614;0.10045;0.00511;0.00266736;0.00088912;0.00266736;0.00088912;0.00266736;0.00088912;0.00266736;0.00088912
237;1105.81;0.67411;0.27697;0.05763;0.0051;0.97414;0.94193;0,97572;0,76109;0.92706;0.37124;0.0909;0.00468;0.00229908;0.00076636;0.00229908;0.00076636;0.00229908;0.00076636;0.00229908;0.00076636
75;349.414;0.93824;0.43948;0.05878;0.00669;0.94865;0.92375;0,97571;0,72718;0.98198;0.41878;0.09601;0.00562;0.00278022;0.00092674;0.00278022;0.00092674;0.00278022;0.00092674;0.00278022;0.00092674
153;713.37;0.86936;0.33694;0.05681;0.00964;0.93779;0.925;0,97552;0,74341;0.96388;0.44456;0.09779;0.00987;0.00254856;0.00084952;0.00254856;0.00084952;0.00254856;0.00084952;0.00254856;0.00084952
187;872.216;0.81898;0.3467;0.05652;0.01189;0.98701;0.9;0,97542;0,74183;0.94174;0.48731;0.10064;0.00435;0.00244758;0.00081586;0.00244758;0.00081586;0.00244758;0.00081586;0.00244758;0.00081586
197;919.058;0.69135;0.29228;0.06069;0.0072;0.94997;0.925;0,97482;0,74649;0.93288;0.44807;0.08686;0.00396;0.00241788;0.00080596;0.00241788;0.00080596;0.00241788;0.00080596;0.00241788;0.00080596
184;858.396;0.76385;0.29375;0.07723;0.00814;0.92645;0.94478;0,97481;0,74646;0.93436;0.44301;0.10014;0.00515;0.00245649;0.00081883;0.00245649;0.00081883;0.00245649;0.00081883;0.00245649;0.00081883
74;344.972;0.93294;0.36463;0.06667;0.0099;0.94774;0.90679;0,97477;0,72558;0.97473;0.45915;0.09507;0.00572;0.00278319;0.00092773;0.00278319;0.00092773;0.00278319;0.00092773;0.00278319;0.00092773
173;806.985;0.78263;0.32708;0.06294;0.00781;0.92739;0.9;0,9747;0,74204;0.97301;0.4327;0.09833;0.00395;0.00248916;0.00082972;0.00248916;0.00082972;0.00248916;0.00082972;0.00248916;0.00082972
155;722.475;0.82582;0.40184;0.06589;0.01178;0.94711;0.89552;0,97467;0,7317;101.286;0.44586;0.09784;0.01081;0.00254262;0.00084754;0.00254262;0.00084754;0.00254262;0.00084754;0.00254262;0.00084754
179;834.89;0.74513;0.29452;0.06854;0.00904;0.94901;0.93062;0,97461;0,71287;101.791;0.42266;0.09849;0.0059;0.00247134;0.00082378;0.00247134;0.00082378;0.00247134;0.00082378;0.00247134;0.00082378
235;1096.49;0.6967;0.30571;0.07217;0.0052;0.94811;0.925;0,97453;0,72435;0.95237;0.40498;0.08786;0.00461;0.00230502;0.00076834;0.00230502;0.00076834;0.00230502;0.00076834;0.00230502;0.00076834
185;863.077;0.81953;0.45052;0.06246;0.01693;0.91947;0.95;0,97452;0,74119;0.97229;0.37441;0.10453;0.0053;0.00245352;0.00081784;0.00245352;0.00081784;0.00245352;0.00081784;0.00245352;0.00081784
58;270.337;0.9465;0.50508;0.07897;0.00948;0.96133;0.95;0,97446;0,7427;0.97768;0.4547;0.09532;0.00486;0.00283071;0.00094357;0.00283071;0.00094357;0.00283071;0.00094357;0.00283071;0.00094357
144;671;0.76912;0.37529;0.06112;0.01332;0.94943;0.93893;0,9744;0,7516;0.91217;0.51794;0.09337;0.00545;0.00257529;0.00085843;0.00257529;0.00085843;0.00257529;0.00085843;0.00257529;0.00085843
221;1031.27;0.66247;0.28723;0.05683;0.00912;0.96794;0.9;0,9744;0,74481;0.92202;0.50572;0.09103;0.00535;0.0023466;0.0007822;0.0023466;0.0007822;0.0023466;0.0007822;0.0023466;0.0007822
200;933.032;0.69525;0.3398;0.06381;0.0054;0.94983;0.94676;0,97426;0,75633;0.89818;0.44654;0.0854;0.00459;0.00240897;0.00080299;0.00240897;0.00080299;0.00240897;0.00080299;0.00240897;0.00080299
135;629.136;0.79417;0.33224;0.04863;0.01039;0.9736;0.92219;0,97414;0,73287;0.96442;0.43214;0.0922;0.00501;0.00260202;0.00086734;0.00260202;0.00086734;0.00260202;0.00086734;0.00260202;0.00086734
130;605.881;0.86887;0.42075;0.06061;0.00825;0.96752;0.95;0,97407;0,73389;0.98408;0.44317;0.09341;0.00427;0.00261687;0.00087229;0.00261687;0.00087229;0.00261687;0.00087229;0.00261687;0.00087229
186;867.699;0.73624;0.29159;0.05579;0.0076;0.92582;0.93615;0,97405;0,74727;0.94324;0.4908;0.10138;0.00451;0.00245055;0.00081685;0.00245055;0.00081685;0.00245055;0.00081685;0.00245055;0.00081685
181;844.273;0.7906;0.33702;0.06339;0.00668;0.90238;0.975;0,97388;0,72577;0.98148;0.43221;0.09794;0.0062;0.0024654;0.0008218;0.0024654;0.0008218;0.0024654;0.0008218;0.0024654;0.0008218
66;307.427;0.97476;0.46224;0.05873;0.01051;0.94778;0.95;0,97337;0,7482;0.94891;0.47051;0.09001;0.00621;0.00280695;0.00093565;0.00280695;0.00093565;0.00280695;0.00093565;0.00280695;0.00093565
202;942.464;0.69436;0.29416;0.06328;0.00748;0.94757;0.90364;0,97333;0,74359;0.90434;0.43537;0.08585;0.00453;0.00240303;0.00080101;0.00240303;0.00080101;0.00240303;0.00080101;0.00240303;0.00080101
131;610.543;0.80085;0.32877;0.06162;0.00936;0.96465;0.95;0,97326;0,74211;0.98003;0.42596;0.09244;0.00449;0.0026139;0.0008713;0.0026139;0.0008713;0.0026139;0.0008713;0.0026139;0.0008713
209;975.157;0.69304;0.34536;0.075;0.00592;0.91035;0.95;0,97317;0,76512;0.88179;0.43139;0.0905;0.00465;0.00238224;0.00079408;0.00238224;0.00079408;0.00238224;0.00079408;0.00238224;0.00079408
192;895.618;0.66971;0.36181;0.0728;0.0044;0.92485;0.92311;0,973;0,74943;0.92108;0.41786;0.09191;0.00464;0.00243273;0.00081091;0.00243273;0.00081091;0.00243273;0.00081091;0.00243273;0.00081091
199;928.4;0.69908;0.33741;0.05372;0.00463;0.9179;0.975;0,973;0,7514;0.90258;0.45567;0.0848;0.00416;0.00241194;0.00080398;0.00241194;0.00080398;0.00241194;0.00080398;0.00241194;0.00080398
65;302.768;100.003;0.43572;0.06488;0.01287;0.94971;0.94428;0,97282;0,74265;0.9463;0.52709;0.09193;0.00528;0.00280992;0.00093664;0.00280992;0.00093664;0.00280992;0.00093664;0.00280992;0.00093664
169;788.322;0.74052;0.27747;0.08076;0.00623;0.94728;0.89845;0,97247;0,74173;0.94829;0.45141;0.10033;0.00451;0.00250104;0.00083368;0.00250104;0.00083368;0.00250104;0.00083368;0.00250104;0.00083368
174;811.71;0.75149;0.30448;0.05714;0.00648;0.96374;0.95;0,97238;0,74092;0.99343;0.40654;0.09951;0.00414;0.00248619;0.00082873;0.00248619;0.00082873;0.00248619;0.00082873;0.00248619;0.00082873
114;531.44;0.84782;0.38931;0.05225;0.00724;0.92663;0.94723;0,97174;0,76179;0.96973;0.43988;0.09232;0.00429;0.00266439;0.00088813;0.00266439;0.00088813;0.00266439;0.00088813;0.00266439;0.00088813
146;680.392;0.77536;0.35194;0.06;0.00849;0.92787;0.96497;0,97162;0,75844;0.89081;0.48331;0.09061;0.00605;0.00256935;0.00085645;0.00256935;0.00085645;0.00256935;0.00085645;0.00256935;0.00085645
125;582.465;0.85201;0.38291;0.06079;0.00847;0.97368;0.92476;0,97158;0,7179;102.934;0.42273;0.09676;0.00616;0.00263172;0.00087724;0.00263172;0.00087724;0.00263172;0.00087724;0.00263172;0.00087724
223;1040.55;0.66864;0.30323;0.05291;0.00545;0.90163;0.925;0,97138;0,71942;0.91985;0.50224;0.09175;0.00558;0.00234066;0.00078022;0.00234066;0.00078022;0.00234066;0.00078022;0.00234066;0.00078022
239;1115.11;0.70033;0.31519;0.05918;0.00616;0.91894;0.95;0,97101;0,75369;0.92028;0.42937;0.09183;0.00556;0.00229314;0.00076438;0.00229314;0.00076438;0.00229314;0.00076438;0.00229314;0.00076438
177;825.711;0.71377;0.32073;0.05612;0.0042;0.92034;0.95;0,97093;0,71463;10.418;0.41672;0.09942;0.00537;0.00247728;0.00082576;0.00247728;0.00082576;0.00247728;0.00082576;0.00247728;0.00082576
175;816.44;0.76984;0.37786;0.06712;0.00822;0.94559;0.925;0,9707;0,73282;0.97129;0.45486;0.09999;0.00451;0.00248322;0.00082774;0.00248322;0.00082774;0.00248322;0.00082774;0.00248322;0.00082774
71;330.883;0.95583;0.43332;0.05787;0.01317;1;0.87251;0,97049;0,71593;10.084;0.47644;0.09542;0.00596;0.0027921;0.0009307;0.0027921;0.0009307;0.0027921;0.0009307;0.0027921;0.0009307
87;405.362;0.94452;0.42477;0.07049;0.01546;0.94647;0.88423;0,97029;0,70473;0.9864;0.47572;0.10088;0.00514;0.00274458;0.00091486;0.00274458;0.00091486;0.00274458;0.00091486;0.00274458;0.00091486
238;1110.45;0.62193;0.25102;0.05992;0.00543;0.92042;0.95;0,9698;0,74989;0.93873;0.40411;0.0903;0.00529;0.00229611;0.00076537;0.00229611;0.00076537;0.00229611;0.00076537;0.00229611;0.00076537
94;438.186;0.95593;0.44749;0.06338;0.01373;1;0.89021;0,96972;0,73758;0.96437;0.44752;0.09786;0.00342;0.00272379;0.00090793;0.00272379;0.00090793;0.00272379;0.00090793;0.00272379;0.00090793
145;675.693;0.75642;0.36651;0.07284;0.00578;0.94849;0.92071;0,96966;0,75497;0.92426;0.4756;0.09375;0.0058;0.00257232;0.00085744;0.00257232;0.00085744;0.00257232;0.00085744;0.00257232;0.00085744
201;937.663;0.70013;0.28623;0.05168;0.00673;0.94858;0.92243;0,96958;0,75067;0.9084;0.4206;0.08593;0.00453;0.002406;0.000802;0.002406;0.000802;0.002406;0.000802;0.002406;0.000802
93;433.456;0.91806;0.39933;0.06262;0.009;0.94856;0.92205;0,96952;0,75376;0.91284;0.47323;0.09631;0.00323;0.00272676;0.00090892;0.00272676;0.00090892;0.00272676;0.00090892;0.00272676;0.00090892
